userName;rating;tanggal;ulasan;Keterangan
Ridell Nusa Bhakti;5;04/07/2024 20:41;mungkin ini adalah game turn base terbaik yang pernah saya mainkan. kenapa saya bilang seperti itu? karena kali ini Hoyoverse benar benar membuat sebuah maha karya yang sangat luar biasa!. ga nanggung², cut scene dipaksa/dibuat dengan kualitas terbaik 4K 60FPS!!. dan disuguhkan gameplay menarik!, ditambah oleh story yang benar benar EPIC!, dan dibarengi musik yang luar biasa BAGUS! saya dibuat tidak bisa berkata² lagi karena baru kali ini saya menemukan game TERBAIK dan TERNIAT seumur hidup saya;Positif
AizzenXOrion;5;05/07/2024 03:01;Game yang sangat kompleks dan tidak membosankan, kekurangannya cuma dibagian gacha saja kayak kurang adill seperti persenan mendapatkan karakter bagus sangat kurang.;Positif
Muhammad Rianda;5;05/07/2024 04:56;"""Game Honkai Star Rail dari HoYoverse benar-benar mengesankan! Grafisnya memukau, alur ceritanya mendalam, dan gameplay-nya sangat adiktif. Karakter-karakternya dirancang dengan baik dan setiap pertarungan memberikan pengalaman yang seru.";Positif
Evani Yuan (Vanyuan);5;05/07/2024 09:46;Game tersayang dah pokoknya, btw kalau bisa pembelian passnya gak usah di batesin jadi gue bisa topup sekali banyak gitu kayak gue pengennya itu beli pass setahun sekali aja gitu, gak 5 bulan sekali mager gue, sama kalau bisa banner karakter cwonya agak di kurangin kek 2-3 kali update aja muncul karakter cwonya gue mau ambil lc sing sama eidolon jdi gak bisa, mana pity tinggi mulu gak ngeluh kok, cuman sedih aja;Positif
Nlao Vuea;5;05/07/2024 11:29;Grafik, cutscene, musik, subtitle, karakter dan cerita gak mengecewakan. Hoyoverse selalu totalitas pokoknya, dari awalnya engga tertarik turn base malah jadi suka 😂;Positif
Dita Triganda;5;05/07/2024 15:35;design karakter bagus semua, map oke lah tiap planet map-nya variatif, grafik juga keren. storynya tiap patch makin seru ciamik banget, minusnya metanya cepet banget ganti bjir jadi mau gak mau harus gacha, tp wajar si soalnya banyak bansos juga ini game baik;Positif
6C_03_Aisha syifa arianto;5;05/07/2024 16:24;Story nya bagus,desain karakternya bagus,banyak waifu dan husbu ganteng,walau susah tapi seru,tinggal di tambahin expy nya kiana atau fu hua aja sih udah perfect bgt ni game;Positif
Darrell Enzi;5;06/07/2024 05:19;"Bagus Parah nih game, walaupun pakek gameplay turn base tapi mulai dari mekanik, grafik maupun cerita ini salah satu game mobile yang bagus, story nya ngk ngebosenin, view setiap planet itu bagus"" dari kapal herta sampek penacony, bagus dah char yang variatif dan tidak repetitif bisa char yang playable atau pun cuman npc (contoh nya siobhan) ngk kayak game sebelah yang char npc nya pakek template yang sama. Sekian salam xianzhou. 😋";Positif
Ikrar Putra Nusa Bhakti-2023;4;06/07/2024 08:22;gamenya bagus bisa menyaingi game turn base lain. kekurangannya tidak bisa menghapus data quest lama seperti genshin. tolong kedepannya beri fitur tersebut;Netral
syahrul jaya;2;06/07/2024 15:00;Ada Bug di pengguna android 11 mediatext g90 waktu lawan Svarog ( Complete ) pas svarog ngeluarin rudal phase 2 langsung Freze. tapi game nya tetep jalan dan langsung Fc. kondisi hp masih adem, + kondisi blesing herta simulated universe destruction b3 yang bagi damage ke team. itu yang bikin Freze;Negatif
Ophw_18;2;07/07/2024 10:18;ok but- every gacha, I don't get 5 stars anw broo aku lupa ujian equilibrium dan loncat ke xianzhou lalu penacony, setelah aku melakukan ujian tersebut, level exp ku menghilang dan kembali menjadi level 30 padahal seharusnya sudah level 40.;Negatif
My Arsen;4;07/07/2024 11:59;gamenya sudah sangat bagus.saran sedikit aja tolong perkecil sizenya dgn menghilangkan konten/fitur2 lama yg jarang player mainkan dan tolong optimasi buat device low-mid range.terutama dgn gpu mediatek g95,g96,g99.terimakasih semoga di notice dan di realisasikan oleh mihoyo;Netral
